id,text,sarcastic,rephrase,dialect,Texte_traduit
1540,اتمنى ان يحقق الرئيس مرسي وعده بإعادة تشكيل اللجنة التأسيسية حتى يجنب مصر صراعات ستدفع ثمنها غاليا لابد من تطهيرالدولة من الفاسدين والفلول,0,,msa,آمل أن يحقق الرئيس مورسي وعده بإعادة تشكيل اللجنة التأسيسية من أجل تجنب صراعات مصر التي ستدفع ثمنها العزيز.
1541, افضلي اتجاهل كل شيء واقعد اشوف هاري بوتر اليوم والله افضل ملجئ ,0,,nile,ويفضل أن تجاهل كل شيء والجلوس.
1542,الحزب اليمين المتطرف في ايطاليا فازوا طبعاً حزب بيرلسكوني   و ٩٠ ٪ منهم مع الخروج من الاتحاد الاوروبي  لكثرة المهاجرين طبعاً ايطاليا   بوابة,0,,msa,فاز الحزب الصحيح في إيطاليا ، بالطبع ، بيرلوسكوني و 90 ٪ منهم ، مع الخروج من الاتحاد الأوروبي للعدد الكبير من المهاجرين ، بالطبع ، إيطاليا ، بوابة
1543,امل محمود فى ذمة اللهرحلة عطاء ومقاومة باسلة ستبقى فخرا لجيلنااالهم اجزها خيرا عنا وبواسع رحمتك ادخلها واسع جنتك,0,,msa,أمل محمود ، في وذمة الوهرا ، هي عطاء ومقاومة ، سلة ستبقى فخوراً بجيلهم.
1544, منزين عيالنا عشان تصير مختلطه مب ناقصين حومة كبد .  ماذا لو المدارس مختلطه ,0,,gulf,إن أطفالنا غارقون في أن يصبحوا مختلطين مع ناقص ، حكومة الكبد. ماذا لو كانت المدارس مختلطة
1545,ما نحن فيه الان هو كله بفضل الشهداء و مصابي الثوره لذلك لابد من تاسيس هيئه تكون مهمتها تكريم اصحاب الفضل فيما نحن فيه الان,0,,msa,ما نحن فيه الآن هو كل شيء بفضل الشهداء والجرحى من الثورة ، لذلك من الضروري إنشاء هيئة تتمثل مهمتها في تكريم أصحاب الفضل في ما نحن فيه الآن
1546,  نادين نسيب نجيمما شفتها بس اكيد كالعادة القمر 🙊😍 ,0,,msa,نادين ناسيب نجيمما ، رأيتها ، لكن بالتأكيد ، القمر 🙊😍
1547,من عيوب وسائل التواصل الاجتماعي أنها أصبحت أداة لرد الفعل وليس الفعل، ننشغل بردود الأفعال اليومية أكثر ما ننشغل بالتخطيط والتفكير للمستقبل,0,,msa,واحدة من عيوب وسائل التواصل الاجتماعي هي أنها أصبحت أداة لردود الفعل ، وليس الفعل ، نحن مشغولون بردود الفعل اليومية التي تشغل التخطيط والتفكير في المستقبل
1548,شبيسى ليز اللى كان عليه طماطمية كبيرة  مقدرش انسى,0,,nile,رقائق ليز ، التي لديها رمز كبير ، لم تستطع أن ينسى
1549, لا يفوتكم يا شباب محمد فودة على اكشن يا دوري وفقرة الاخطاء التحكيمية  حممممااااس ,0,,msa,لا تفوت ، يا شباب ، محمد فودا ، على العمل ، دوري ، وأخطاء التحكيم ، الحمة
1550,  الغوطة الشرقية:  الجيش السوري يتقدم في حوش شلق بالغوطة الشرقية وسط اشتباكات مع أرهابيي   جيش الاسلام . ,0,,levant,غوتا الشرقية: يتقدم الجيش السوري في هوش شالاك في غوطة الشرقية ، وسط اشتباكات مع إرهابيي جيش الإسلام.
1551, ثلوج متوقعة على المناطق الشمالية والجوف فجر الثلاثاء  طقس العرب ,0,,msa,يتوقع الثلج في المناطق الشمالية و AL -Jawf عند Dawn يوم الثلاثاء
1552,  غزة- الاحتلال يقرر استئناف بناء جدار قطاع غزة الجديد ,0,,msa,غزة- تقرر الاحتلال استئناف بناء جدار قطاع غزة الجديد
1553, المتحدث باسم  حماس حازم قاسم: لم نتلق أي دعوةلحضورالجلسةالافتتاحيةلمؤتمرفتح السابع، وفي حال تلقت الحركة الدعوة سيتم دراستها لاتخاذ قرارمناسب ,0,,msa,المتحدث باسم حماس هازم قاسم: لم نتلق أي دعوة لحضور جلسة الانفتاح على السابع ، وإذا تلقى الحركة الدعوة ، فسيتم دراسته لاتخاذ قرار مناسب
1554, كل سنة وانت الحب ❤️😘 فيروز ,0,,nile,كل عام أنت الحب ❤ fayrouz
1555, رامي عياش 👏🏻👏🏻👏🏻❤️ ,0,,msa,رامي أيخ 👏🏻👏🏻❤
1556,الفرد هو الركيزة الأساسية التي تقوم عليها عملية التغيير والإصلاح والتي و إن بدت صعبة إلا أنها ليست مستحيلة ، بل,0,,msa,الفرد هو العمود الرئيسي الذي تستند إليه عملية التغيير والإصلاح ، والتي ، وإذا كان الأمر صعبًا ، ليس مستحيلًا ، بل بالأحرى
1557,زد رصيدك35 المطيري ع قلوبهم .. التمو حزب حسب الله ( الشهاريه ) 😷,0,,levant,قم بزيادة توازنك الخامس والثلاثين من Mutairi إلى قلوبهم .. Tammu Hasab Glah (al -Shahrani) 😷
1558, الأم المثالية … تُخفي دمعتها عن أطفالها حتى لا يدخل الحزن إلى قلوبهم تظهر ابتسامتها لصغارها وإن كان قلبها يعتصر الألم!! قلبها كبير,0,,msa,الأم المثالية ... تخفي دموعها من أطفالها حتى لا تدخل الحزن في قلوبهم ، تظهر ابتسامتها لصغارها ، حتى لو كان قلبها يضغط على الألم !!
1559,نحن بحاجة إلى وسطية في المعاملات واعتدال في المواقف و الا تعرضنا لعوامل هدم المجتمعات الكبرى   مصر  تونس  لبنان  الإمارات  فلسطين,0,,msa,نحتاج إلى الاعتدال في المعاملات والاعتدال في المواقف ، وعدم التعرض
1560,مصر حسمت هويتها منذ مئات السنين بأنها دولة مسلمة وعربية وقبل ذلك بأنها أم الدنيا التى تفتح أذرعتها للجميع وتتواصل مع كل الحضارات  ,0,,msa,قررت مصر هويتها قبل مئات السنين بأنها دولة مسلمة وعربية ، وقبل ذلك تكون والدة العالم هي التي تفتح ذراعيها للجميع وتتواصل مع جميع الحضارات
1561, نرى ان قرار مجلس الامن اليوم حول مراقبة خروج المسلحين و المدنيين مع عائلاتهم م احياء حلب الشرقية نراه من حيث الضرورة لزوم ما لا يلزم. ,0,,msa,نرى أن قرار مجلس الأمن اليوم بمراقبة رحيل المسلحين والمدنيين مع أسرهم ، في حي شرق حلب ، نراه من حيث ضرورة ما هو غير ضروري.
1562,الشاباك  الإسرائيلي: حذرنا الجيش من شح المعلومات حول كتائب  القسام الجناح المسلح لحركة  حماس قبيل حرب 2014  بثلاثة أشهر. طيف نت,0,,msa,رهان شين الإسرائيلي: حذرنا الجيش من ندرة المعلومات حول لواء القسام ، الجناح المسلح في حماس ، قبل ثلاثة أشهر من حرب 2014.
1563, استقبل مدير الجامعة ........ فازا بالمركزين الأول والثاني في مسابقة حفظ القرآن الكريم اليوم العالمي للّغة العربية ,0,,msa,تلقى رئيس الجامعة ........ لقد فازوا بالمركز الأول والثاني في مسابقة حفظ القرآن الكريم ، اليوم الدولي للغة العربية
1564,الاختيارات مش عاجبانى,0,,nile,الخيارات ليست مثلي
1565,ممكن امك تكون بتحب الفسيخ بس عيالها وجوزها اللي هو ابوك يعني مش بيحبوه وتكون نفسها فيه بس ماتكلوش عشانهم هي ديه  الأم المثالية,0,,nile,من الممكن أن تحب والدتك Fsikh ، لكن أطفالها وصواميلها ، وهو والدك ، أقصد أنها لا تحبها ولها نفسها في ذلك ، لكنها لا تملك الأم المثالية.
1566,  ماذا لو المدارس مختلطه كان تسمون الخميس الكئيب مش الونيس لو عليكم كمااان داومتوا 😂😂😂 ,0,,levant,ماذا لو كانت المدارس مختلطة ، فقد تم تسميتها يوم الخميس القاتمة.
1567,مؤتمر حزب العدل لدعم  حمدين صباحي رئيسا لمصر : حمدين صباحي: مشروعي هو قيام دولة مدنية خالية من الفساد,0,,msa,مؤتمر حزب العدالة لدعم حمدين سباهي كرئيس لمصر: حمدين سباهي: مشروعي هو إنشاء دولة مدنية خالية من الفساد
1568,  لو كان بخاطري نفسي اطلع لعمل تطوعي لمساعدة النازحين السوريين💔 ,0,,levant,إذا كان لدي نفسي ، فسأرى عملاً تطوعيًا لمساعدة السوريين النازحين
1569,سحل متظاهرين بالقصر العيني - ليعلنها  مرسي بصراحة-هل انت فاقد السيطرة على الداخلية؟ أم انت المسؤول؟,0,,msa,المتظاهرون في قصر آلني - للإعلان عن مرسي بصراحة - هل تضيع في وزارة الداخلية؟ أم أنك مسؤول؟
1570, جنبلاط عرض وريتشارد التطورات في لبنان والمنطقة ,0,,msa,عرض Jumblatt ، وريتشارد ، تطورات في لبنان والمنطقة
1571,سي بي سي: إبراهيم محلب يشارك باحتفالية تنزانيا اليوم بمناسبة العيد الخمسين للوحدةنيابة عن الرئيس  عدلي منصور  ,0,,msa,سي بي سي: إبراهيم ماهلاب يشارك في الاحتفال بالتنزانيا اليوم ، بمناسبة الخمسين يومًا من الوحدة ، نيابة عن الرئيس آدي منصور
1572,الوقوف دقيقة حداد على ارواح شهداء احداث سيناء وعلى شهداء ثورة 25 يناير في بداية المؤتمر الجماهيري,0,,msa,يقف دقيقة الحداد على أرواح شهداء أحداث سيناء وشهداء ثورة 25 يناير في بداية المؤتمر الجماهيري
1573,  ماذا لو المدارس مختلطهماقدر اقول انه مرة بيكون مافي فساد لا في فساد بس اعتقد بيكون اقل من اللي صاير الحين بكثير الكثير ,0,,gulf,ماذا لو كانت المدارس مختلطة ، يمكنني القول أنه بمجرد أن يكون الفساد ، وليس في الفساد ، لكنني أعتقد أنه سيكون أقل مما حدث الآن
1574, وراحت الايام وشوي شوي.. سكت الطاحون عا كتف المي ... وجدي صار طاحون الذكريات .. يطحن شمس وفي.  فيروز ,0,,msa,ذهبت الأيام والتشويش ... الفيروز
1575,تم بحمد الله القبض علي عصام العريان شوف بالصورة,0,,nile,الحمد لله ، تم القبض على عيسام آلان ، انظر في الصورة
1576, من احتفالات المولد النبوي الشريف ,0,,msa,من احتفالات عيد ميلاد النبي
1577,نفسي ارجع لأيام كانت الحاجه الوحيده اللي مش تخليني اعرف انام لما يبقي عندي رحله في المدرسه تاني يوم  ذكريات مدرسية,0,,nile,أعود إلى أيام.كانت الحاجة الوحيدة التي لا تتركني.أعلم أنني أنام عندما يكون لدي رحلة في المدرسة مرة أخرى.
1578,فى هجاء الغتاتة!,0,,nile,في هجاء!
1579,الحشيش حلو مفيش كلام  اه والله,0,,nile,الحشيش حلو ، لا توجد كلمات ، أه ، من الله
1580,بسمة أمل جديدة مع لذة العطاء,0,,msa,ابتسامة جديدة بسرور العطاء
1581,بكرة احسن ولسة في امل,0,,nile,أفضل وعالي في الأمل
1582, مردخاي:  حماس وحدها هي المسؤولة عن ما يحدث على حدود  غزة من اضطرابات ومن يحاول التسلل من سكان غزة نحو  إسرائيل  سيعرض حياته للخطر. ,0,,msa,Mordechai: حماس وحده مسؤول عن الاضطرابات على حدود غزة وأولئك الذين يحاولون التسلل إلى سكان غزة تجاه إسرائيل سيهدد حياته للخطر.
1583, ذات مومنت لما تقدم عرض عمل جديد متحمسله عمرك ما إشتغلته لزبون واليوم موعد إجتماعه مع مقره في اليابان وشعورك أنا شن درت إن شاء الله يرفضوا!,0,,gulf,Momant ، عندما قدم عرض عمل جديد ، متحمس لعمرك ، وما عملت عليه من أجل أحد العملاء ، واليوم في تاريخ لقائه مع مقره في اليابان ، وشعورك.
1584,العصابة الموجودة في سجن طرة لا يزال لها رجالها وأموالها خارج السجن وتدير عملية الانف,0,,msa,لا تزال العصابة في سجن تورا لديها رجالها وأموالها خارج السجن وتدير عملية الأنف
1585,  إبراهيم الجارحي: الحقوق مسألة موضوعية وليست محل آراء.. وليس لدينا استطلاعات حول الفريق  أحمد شفيق تحدد لنا شعبيته  أربعة زائد واحد ,0,,msa,إبراهيم الجارهي: الحقوق هي قضية موضوعية وليست موضوع الآراء .. ليس لدينا استطلاعات في الفريق ، أحمد شافق
1586, ساوند تراك هاري بوتر و مقدسات الموت يفوز بـ احمل ساوند تراك على الاطلاق بعد قيم اوف ثرونز 💛💛 ,0,,msa,مسار الصوت هاري بوتر ومحميات الموت يفوز بجثث مسار الصوت على الإطلاق بعد قيم العروش 💛💛
1587,بس اعلان فودافون الجديد بتاع عمرو دياب دا حوار😍.,0,,nile,لكن إعلان فودافون الجديد عن عمر دياب ديه ديار.
1588,كل مصرى حر فى المانيا يتوجه ظهر غد الى وزارة الخارجية الالمانية فى برلين لاعلان معارضته لمؤتمر الانقلاب وترعاه ملكة الاردن,0,,msa,كل مصرية حرة في ألمانيا يذهب بعد ظهر غد إلى وزارة الخارجية الألمانية في برلين للإعلان عن معارضته لمؤتمر الانقلاب ورعايته من قبل ملكة الأردن
1589,  روسيا/  لافروف: لمساعدة السوريين يجب تقديم المساعدات والتوقف عن الثرثرة  عاجل بابليك برس ,0,,msa,روسيا/ لافروف: لمساعدة السوريين يجب أن يقدموا المساعدة وإيقاف الدردشة
1590,  مصر خسرت أرواح أبنائها التي لا تعوض بمال السعودية أوالامارات,0,,msa,فقدت مصر أرواح أطفالها التي لا يتم تعويضها عن أموال المملكة العربية السعودية أو الإمارات
1591,  نادين نسيب نجيمنجمة الشاشة العربية بوقت الحالي 💗😍 ,0,,msa,Nadine Nassib Njadim ، الشاشة العربية ، في الوقت الحاضر 💗😍
1592,هو كان اسمه بوتر وكان دايما يتأخر في التصوير والمخرج يكلمه يقله هاري بوتر هاري بوتر لحد ماطلعت عليه..,0,,msa,كان اسمه بوتر وكان دائمًا متأخراً في التصوير الفوتوغرافي وتحدث معه المخرج.
1593, كفاية اسفاف,0,,nile,الاكتفاء
1594,حكومة الجزائر تعلن الحداد على كاسترو لمدة ٨ ايام. اقل بيوم واحد عن حداد كوبا!كيف نفسر هذا الخبر والقرار!  الجزائر  كوبا  كاسترو,0,,msa,تعلن الحكومة الجزائرية الحداد على كاسترو لمدة 8 أيام. يوم واحد أقل من حداد كوبا!كيف نوضح هذا الخبر والقرار! الجزائري كوبا كاسترو
1595,اللهم انتقم منه انتقم من كل من فرح بدماء المسلمين والله لنقف يوم القيامة لنحاسبك اللهم حسرك على ابناءك,0,,levant,يا إلهي ، انتقم منه ، وانتقم من كل من ابتهج بدم المسلمين ، وسوف يقف الله في يوم القيامة.
1596,نعم انه  خالد بن الوليد رضي الله عنه يا من يفتخر ب  هتلر,0,,msa,نعم ، إنه خالد بن الوالد ، فايه الله يسره ، وهو فخور بهتلر
1597,"أشارك اليوم في مبادرة فودافون لمحو الأمية, العلم قوة, سفيرا للمبادرة ومتطوعا لتحقيق الهدف القومي بأن تصبح مصر بلا أمية",0,,msa,أشارك اليوم في مبادرة فودافون لمحو الأمية ، والعلم هو السلطة ، وسفير المبادرة والمتطوع لتحقيق الهدف الوطني ليصبح مصر بدون أمية
1598,بعض الناس يتميزوا بالثبات على مبدا  عدم الثبات على مبدأ ,0,,msa,يتميز بعض الأشخاص بمبدأ عدم الاستقرار في المبدأ
1599, ماذا اعطاك الوهاب  الحمد لله انه الوهاب و ليست الهبات في يد البشر,0,,msa,ما أعطاك الوهاب ، المديح لله ، أنه هوب وليس الهدايا في أيدي البشر
1600, ي لبييه.  ماذا لو المدارس مختلطه ,0,,msa,مهلا ، ماذا لو تم خلط المدارس
1601,حلب المحرقه والتهجير وهذا يذكرنا بما حصل للفلسطينيين فى 48 من الصهاينة تحت نظر واشراف بريطانيا وحلب تحت اشراف الروس والامريكان ومن قبل ايرا,0,,msa,حلب موهاراك والنزوح ، وهذا يذكرنا بما حدث للفلسطينيين في 48 من الصهاينة تحت وجهة نظر بريطانيا والإشراف عليها تحت إشراف الروس والأمريكيين وقبل ذلك
1602, لا يهمني الكلمة نفسها في قضية ليبرون و فيل جاكسون بقدر ما يهمني اللعب في محتوى القصة و ذكرها من جانب واحد سلبي بينما ليبرون كان قصده نبيل ,0,,msa,لا يهمني نفس الكلمة في قضية ليبرون وفيل جاكسون بقدر ما يهمني اللعب في محتوى القصة وذكرها من جانب واحد ، بينما كان يهدف ليبرون إلى نبيل
1603,شرح تثبيت نظام ويندوز 10 (الفورمات) + نصائح مهمه بعد التثبيت |2017|:,0,,msa,شرح تثبيت Windows 10 (تنسيق) + نصائح مهمة بعد التثبيت |2017 |:
1604,واللى ماتوا فى  بورسعيد عشان رجال ، لما قاوموا حُكم  عسكر كالجبال ️,0,,msa,وقال أولئك الذين ماتوا في بورت بسبب الرجال ، عندما قاوموا حكم عكسار مثل الجبال ️
1605,البديل | البديل   أبو الفتوح: توريط الجيش في السياسة أكثر من اللازم خطر على الأمن القومي,0,,msa,البديل أبو الفوتو: الجيش أكثر مشاركة في السياسة ، تهديد للأمن القومي
1606, حنا الخليج يجب ان نتعاون بدعم الجيش الحر بالسلاح والمال والغذاء ودعم النازحين السوريين بكل مكان وان شاء الله سنقف بجانبهم حتى النصر ,0,,gulf,يجب على حنا الخاليج أن تتعاون مع دعم الجيش الحر بالأسلحة والمال والطعام ، ودعم السوريين النازحين في كل مكان ، ونرغب الله ، سنقف بجانبهم حتى النصر
1607,فيدرر روديك ويمبلي ٢٠٠٩  افضل مباراة تنس شاهدتها,0,,msa,فيدرر روديك ويمبلي 2009 أفضل مباراة تنس شاهدتها
1608, نفسك فى أية فى الجنة ؟ نكلم الرسول صلى الله عليه و سلم =],0,,nile,نفسك في ما في الجنة؟ نتحدث عن الرسول ، باركه الله ونمنحه السلام =]
1609,حمداً لله على سلامة أبنائنا المجندين المحررين، و نهنئ أهلهم و أحبائهم بعودتهم و نهنئ الشعب المصري بإطلاق سراحهم,0,,msa,الحمد لله من أجل سلامة مجنسينا المحررين ، ونهنئة أسرهم وأحبائهم على عودتهم ونهنئة الشعب المصري على إطلاق سراحهم
1610,لن يأتى عام 2014 الا وديون مصر تسجل رقما عالميا لم تصل اليه اى دولة ولن ينفعنا مليارات الخليج الملوثة بدماء اولادنا,0,,msa,لن يأتي عام 2014 باستثناء ديون مصر ، ويسجله عدد عالمي لم تصل إليه أي بلد ، وسوف تفيدنا مليارات الخليج بدماء أطفالنا
1611, الصورة ليست في سوريا او فلسطين إنما في ليبيا  بنغازي والسبب ان مدينة مارقة اسمها  مصراته تريد ان تحكم ليبيا وتحرق الأخضر واليابس بوكرشة ,0,,msa,الصورة ليست في سوريا أو فلسطين ، ولكن في ليبيا ، بنغازي ، والسبب هو أن مدينة مارقة تسمى ميسوراتا.
1612,لا لازدواجية المعايير عند نبذ العنف، لا لتبرير العنف بالسياسة أو أهدافها أو اختلافاتها، لا للإقتتال الأهلي عبر دوائر العنف والعنف المضاد,0,,msa,لا لمضاعفة المعايير عند رفض العنف ، وليس لتبرير العنف بالسياسة أو أهدافها أو اختلافاتها ، وعدم محاربة المدنية من خلال دوائر العنف ومكافحة العنف
1613,أ ف ب : إصابة 16 جندياً  روسيا في حادث طائرة في  سيبيريا الشرقية.,0,,msa,AFP: أصيب 16 جنديًا روسيًا في حادث طائرة في شرق سيبيريا.
1614,يسقط دستور جمهورية مرسي الإخوانية,0,,msa,دستور أخوة مرسي
1615, برودة سماء  تعز يقابلها دف ارض  تعز وهي تحتضن ابناءها الشرفاء من الجيش والمقاومة وتقول لهم تقدموا واغزوا العداء وهللوا وكبروا الله.  اليمن🔴 ,0,,msa,تتوافق برودة سماء تايز إلى أرض تايز ، حيث تتبنى أبنائها المحترمين من الجيش والمقاومة ، وتقول لهم ، لقد تقدموا وغزوا العداء ، وهتفوا ونشأوا مع الله.اليمن
1616, لو ده جنان إتجنن لما تشوف واحد بيعاكس واحده روح اعمل اخوها,0,,nile,إذا كان هذا هو جينان ، فلن أرى شخصًا يرغب في بيع روح واحدة ، فأنا أعمل لصالح شقيقها
1617,متفق مع جوانب بمقال أحمد خالد توفيق وأعتقد أن التحفز ضد الحاكم دون فبركة أو كذب هو أمر مهم في بلد تعشق صناعة الفرعون,0,,msa,الاتفاق مع جوانب مقالة أحمد خالد توفق ، وأعتقد أن الدافع ضد الحاكم دون تصنيع أو أكاذيب هو مسألة مهمة في بلد يحب صناعة الفرعون
1618,المرأة هي سر توازن الحياة وسر جمال الكون ومصدر المحبة والرحمة في هذا العالم كل عام وأنتن أقوى وأجمل وأفضل  يوم المرأة…,0,,msa,المرأة هي سر توازن الحياة ، وسر جمال الكون ، ومصدر الحب والرحمة في هذا العالم كل عام ، وأنت أقوى وأجمل وأفضل يوم من النساء ...
1619,من لا يستطيع أن يفهم أن 'اللهم بلغنا يونيو' كانت توقاً لإجازة بعد عمل شاق مع كل الأطراف بكل احترام ثم يسب و يخوّن سامحه الله,0,,msa,"من لا يستطيع أن يفهم أن ""يا إلهي ، لقد وصلنا إلى يونيو"" كان تحويلًا إلى إجازة بعد عمل شاق مع جميع الأطراف باحترام"
1620, لبنان | الرئيس ميشال عون يستقبل الامير خالد الفيصل امير مكة في خطوة لاستعادة العلاقات بين السعودية ولبنان ,0,,msa,تلقى ميشيل عون الوالدين ميشيل عون الأمير خالد الفهوم ، أمير مكة ، في خطوة لاستعادة العلاقات بين المملكة العربية السعودية ولبنان
1621,ما كل هذه الأعداد! انا مبهور عجلة ورا يا مرسي وإلا هندخل في مرحلة وا كرساه,0,,nile,ما هي كل هذه الأرقام! أنا مبهر بعجلة من قبل مرسي ، وإلا سأدخل في مرحلة
1622, محد. يغيب  ̮ على مسواليتي   ماذا لو المدارس مختلطه     ,0,,msa,لا. أنا غائب عن صلاتي ، ماذا لو تم خلط المدارس
1623,التعويذات المذكورة في سلسلة أفلام هاري بوتر هي كلمات حقيقية ، من لغات مختلفة ، وكلها تأتي بصيغة الأمر بنفس طريقة التعويذات السحرية,0,,msa,تعويذة المذكورة في سلسلة أفلام هاري بوتر هي كلمات حقيقية ، من لغات مختلفة ، وكلها تأتي في شكل مسألة بنفس طريقة تعويذة السحرية
1624,٢- صعدنا الاولمبياد خطا الحكم خليل جلال و بناتي غير صحيح لصالحنا ضد كوريا الشماليه ٣ خطا اداري كسبنا العراق بعد مالعبنا و خسرنا يتبع,0,,msa,2- صعدنا إلى الألعاب الأولمبية ، والحكم ، وخليل جلال ، وبناتي غير صحيحة لصالحنا ضد كوريا الشمالية 3 ، وهو خط إداري.فزنا العراق بعد لعبنا وخسرنا.
1625,الأسواني:اذا لم تتوحد القوى الوطنية فورا من أجل استخلاص الدولة المصرية من أيدي الاخوان فلسوف ندفع ثمن غاليا نحن وأولادنا,0,,msa,أسماني: إذا لم تتحد القوات الوطنية على الفور من أجل استخراج الدولة المصرية من أيدي جماعة الإخوان المسلمين ، فسندفع ثمن عزيزتنا وأطفالنا.
1626,السلام عليكم ورحمة الله وبركاتة، انا وسيط للشراء من موقع امازون عمولتي هي 60ريال على الطلبية كاملة ، تنبيه : العمولة لاتشمل الشحن.,0,,msa,السلام والرحمة وبركات الله يكون عليك.أنا وسيط للشراء من موقع Amazon.
1627, حاجات بتفرح في مصر الناس الكبيره في السن اللي بتدعيلك لمجرد انك رديت سؤالهم بأدب او عديتهم الطريق,0,,nile,احتياجات الابتهاج في مصر ، والأشخاص العظماء في العصر الذي يدعوك لمجرد أنك أجبت سؤالهم بأدب أو عدوهم.
1628, نقول للرئيس التركي ...  اردوغان الزم حدودك العبادي يمثل العراق.... ,0,,msa,نقول للرئيس التركي ... أردوغان ، زمان من حدودك ، يمثل العراق ....
1629,صح :),0,,nile,صحيح :)
1630, محافظ القاهرة: إزالة العقارات المخالفة بالقرب من   المحكمة الدستورية  لحماية المواطنين,0,,msa,حاكم القاهرة: إزالة انتهاك العقارات بالقرب من المحكمة الدستورية لحماية المواطن
1631,  جبران تويني بعدك معنا ،فالأبطال لا يموتون 🌿 ,0,,msa,Gibran Tueni بعدك معنا ، لا يموت الأبطال 🌿
1632,   مش قصدي عليك يا سلامة,0,,nile,لا أقصدك يا سالاما
1633,رُب دعاء خالص صادق ترفعه إلي السماء يجلب لك الخير و يأتي بفرج و يُزيل الهم يا رب,0,,msa,سيد الدعاء الصادق والصادق الذي ترفعه إلى السماء يجلب لك الخير ويأتي مع الراحة ويزيل القلق يا رب
1634,ممكن تكون ضد مبارك ومرسي ممكن تكون مع مبارك ممكن تكون مع مرسي ،، بس الاكيد كلنا لازم نكون مع المساواة والعدل أما…,0,,nile,يمكنك أن تكون ضد مبارك ومورسي ، يمكنك أن تكون مع مبارك ، يمكنك أن تكون مع Morsi ، ولكن يجب أن نكون جميعًا مع المساواة والعدالة ، ولكن ...
1635,الانقلاب حرق برادعى وصباحى ابو الفتوح وحزب النور الضحية القادمة من عيار ثقيل,0,,msa,أحرق الانقلاب برادي ، وسباهي أبو ، فوتوه ، وحزب آل ، الضحية القادمة من عيار ثقيل
1636,ياخى الفجيكات دول يتحبوا من غير مقدمات كده :)  نوبة,0,,nile,أخي الفاكات ، البلدان محبوبة بدون مقدمات :) النوبة
1637, اعتراف انهرده كان يوم عالمى وكله بان على حقيقته,0,,nile,كان اعتراف جناحه يومًا عالميًا ، وكل ذلك صحيح
1638,درس العربي في الأرياف بيدعيلكوا  محمد محسن ومستر ممدوح بييدعيلكوا برده :) :),0,,nile,درس العربي في الريف.
1639,  روسيا و  الصين تستخدمان الفيتو مجدّدًا ضد السوريين، برفض مشروع قرار يطالب بهدنة مدتها سبعة أيام في مدينة  حلب. سوريا ,0,,msa,روسيا والصين تستخدم حق النقض مرة أخرى ضد السوريين ، من خلال رفض مسودة قرار يدعو إلى هدنة سبعة أيام في مدينة حلب.
1640, أن أكون وحيدًا معك، في نهاية اليوم،ألا أرى سواك، بينما المساء يمضيفقط ليؤكد قليلة هي المسرات،ومسرتي الوحيدة: أني وحيد معك.* بوب ديلان ,0,,msa,لكي تكون بمفردك ، في نهاية اليوم ، لا ترى إلا أنت ، بينما يضيف المساء لتأكيد عدد قليل من المسرات ، ونجمتي الوحيدة: أنا وحدي معك.* بوب ديلان
1641,انه دائماً من الرائع أن تكسب الجوائز لأن هذا يعني انك قدمت موسماً جيداً  تشلسي  تشيلسي,0,,msa,من الرائع دائمًا الفوز بالجوائز لأن هذا يعني أنك قدمت موسمًا جيدًا تشيلسي
1642, جسدكِ : غيمةٌ ،جسدكِ : مطرٌ من الضوء ،جسدكِ : غابةٌ في قصيدة سحر ،جسدكِ : عطرٌ حيٌّ ،جسدكِ : صلاةٌ ،جسدكِ : موسيقى ! أحمد الشيخ علي ,0,,msa,جسمك: سحابة ، جسمك: المطر من الضوء ، جسمك: غابة في قصيدة سحرية ، جسمك: عطر حي ، جسمك: الصلاة ، جسمك: موسيقى! أحمد شيخ علي
1643,أسماء الجناة والمتهمين بالنيابة العامة وهي تباشر تحقيقاتها نحن سنكشف الحقائق بالكامل للرأي العام وسنحمل جميع الأطراف مسئولياتها للتوضيح,0,,msa,أسماء الجناة والمتهمين بالادعاء العام تبدأ في تحقيقاتهم.سنكشف تمامًا عن حقائق الرأي العام وسنتحمل جميع الأطراف.
1644, إطلاق النار الذي سمع قرب حاجز  قلنديا قبل قليل، نتج عن إطلاق جنود  الاحتلال النار صوب مستوطن كان يركض باتجاه الحاجز ظنوا أنه فلسطيني. ,0,,msa,أدى إطلاق النار ، الذي سمع بالقرب من نقطة التفتيش في قلانديا منذ فترة قصيرة ، إلى إطلاق جنود المهنة في مستوطن كان يركض نحو الحاجز ، الذي اعتقد أنه كان فلسطينيًا.
1645,أدين بشدة تقديم كل صاحب رأي أو ناشط سياسي للمحاكمات العسكرية علي المجلس العسكري الالتزام بتعهده بعدم إحالة المدنيين لمحاكمات عسكرية,0,,msa,لقد أدان بقوة عرض كل شخص برأي أو ناشط سياسي للمحاكمات العسكرية للمجلس العسكري للالتزام بتعهده بعدم إحالة المدنيين إلى المحاكمات العسكرية.
1646,قد ترى الأمور مستعصية عليك بعض الشيء لكن اذا ما نظرت من ذاك الباب الذي لا ينظر إليه احد سوف ترى الأمور متجلية واضحة ومفهومة لديك  حاول,0,,msa,قد ترى الأمور صعبة بالنسبة لك إلى حد ما ، ولكن إذا نظرت من هذا القسم ، فلا أحد ينظر إليها ، فسترى الأشياء واضحة ومفهومة لك.
